time,method,url,status,mime_type,bytes,user_agent
2025-11-13 11:04:40.025000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:40.028000+00:00,GET,http://10.60.36.1/~eyavuz/api/team.php?id=2,200,application/json,3825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:48.742000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:48.746000+00:00,GET,http://10.60.36.1/~eyavuz/api/player.php?id=35,200,application/json,535,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:52.632000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:52.636000+00:00,GET,http://10.60.36.1/~eyavuz/api/team.php?id=2,200,application/json,3825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:54.680000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:54.684000+00:00,GET,http://10.60.36.1/~eyavuz/api/player.php?id=38,200,application/json,541,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:55.518000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:55.521000+00:00,GET,http://10.60.36.1/~eyavuz/api/team.php?id=2,200,application/json,3825,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:56.089000+00:00,GET,http://10.60.36.1/~eyavuz/app.css,200,text/css,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
2025-11-13 11:04:56.093000+00:00,GET,http://10.60.36.1/~eyavuz/api/upcomingmatches.php,404,text/html,1255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
